id,src,field_ch,field_ru,Note
1,douyin-streams,主播头像,аватар стримера,
2,douyin-streams,主播昵称,ник стримера,
3,douyin-streams,主播抖音号,аккаунт стримера,
4,douyin-streams,直播开始时间,время начала стрима,
5,douyin-streams,直播结束时间,время окончания стрима,
6,douyin-streams,直播时长(分钟),"продолжительность стрима, мин",
7,douyin-streams,直播间曝光人数,"охват во время стрима, чел",
8,douyin-streams,直播间曝光次数,"охват во время стрима, раз",
9,douyin-streams,直播间观看人数,"показы во время стрима, чел",
10,douyin-streams,单小时观看人数,"показы в час во время стрима, чел",
11,douyin-streams,直播间观看次数,"показы во время стрима, раз",
12,douyin-streams,最高在线人数,максимальное число зрителей онлайн,
13,douyin-streams,平均在线人数,среднее число зрителей онлайн,
14,douyin-streams,人均观看时长(分钟),"средняя прдолжительность просмотра на человека, мин",
15,douyin-streams,评论次数,комментарии,
16,douyin-streams,新加直播团人数,новые члены клуба подписчиков,
17,douyin-streams,新增粉丝数,новые подписчики,
18,douyin-streams,取关粉丝数,отписалось,
19,douyin-streams,观看老粉占比,% старых подписчиков в показах,
20,douyin-streams,带货商品数,кол-во товаров на продажу,
21,douyin-streams,直播间商品曝光人数,"охваты товаров во время стрима, чел",
22,douyin-streams,直播间商品点击人数,"клики товаров во время стрима, чел",
23,douyin-streams,直播间商品曝光次数,"охваты товаров во время стрима, раз",
24,douyin-streams,直播间商品点击次数,"клики товаров во время стрима, раз",
25,douyin-streams,直播间成交订单数,заказы во время стрима,
26,douyin-streams,直播间成交金额,"продажи во время стрима, юаней",
27,douyin-streams,单小时GMV,"выручка в час, юаней",
28,douyin-streams,直播间成交件数,"продажи товаров во время стрима, шт",
29,douyin-streams,直播间成交人数,кол-во покупателей во время стрима,
30,douyin-streams,直播间退款订单数,кол-во возвратов во время стрима,
31,douyin-streams,直播间退款金额,"сумма возвратов во время стрима, ю",
32,douyin-streams,直播间退款人数,"кол-во покупателей, сделавших возврат во время стрима",
33,douyin-streams,预估佣金支出,примерная сумма комиссии,
34,douyin-streams,商品曝光-点击率(次数),"конверсия по товарам: охват-клик, раз, %",
35,douyin-streams,商品曝光-点击率(人数),"конверсия по товарам: охват-клик, чел, %",
36,douyin-streams,商品点击-成交率(次数),"конверсия по товарам: клик-покупка, раз, %",
37,douyin-streams,商品点击-成交率(人数),"конверсия по товарам: клик-покупка, чел, %",
38,douyin-streams,观看-成交率(次数),"конверсия: показы-покупка, раз, %",
39,douyin-streams,观看-成交率(人数),"конверсия: показы-покупка, чел, %",
40,douyin-streams,预售订单数,кол-во заказов предпродаж,
41,douyin-streams,预售全款金额,сумма предпродаж,
42,douyin-streams,新加购物团人数,новые члены клуба покупателей,
